类别,表达式,复杂度,AUC,expr_full
0,260*(0.0032*(0.0016 - x_16)**2 - 0.0013*(0.89 - x_30)**2 - 0.01*(1 - 0.74*x_26)**2 + 0.32*tanh(0.34*x_20 - 2) + 0.15*tanh(1.1*x_28 + 1.6) + 0.4*tanh(1.9*x_31 + 2.1) - 0.6*tanh(3.6*x_33 + 2.2) + 0.0089*tanh(3.6*x_36 - 0.47) + 0.022*tanh(1.3*x_43 + 0.64) - 0.5*tanh(2.2*x_50 + 2.3) - 0.18*tanh(3.8*x_52 + 1.9) + 1)**2 - 0.045,99,0.9948,255.877684728241*(0.00324772357581566*(0.00159168671413751 - x_16)**2 - 0.00125444734359356*(0.892058522066164 - x_30)**2 - 0.0103539043016722*(1 - 0.744773800627681*x_26)**2 + 0.322907179861299*tanh(0.33516588807106*x_20 - 2.00710368156433) + 0.150394342945704*tanh(1.11183297634125*x_28 + 1.60103809833527) + 0.403901296118218*tanh(1.91919660568237*x_31 + 2.08510494232178) - 0.603023087236492*tanh(3.57687187194824*x_33 + 2.2263617515564) + 0.00889620898117181*tanh(3.63973784446716*x_36 - 0.468570351600647) + 0.0217739672209677*tanh(1.30447280406952*x_43 + 0.644928932189941) - 0.502783538826565*tanh(2.18648409843445*x_50 + 2.2752091884613) - 0.177765801495486*tanh(3.7635440826416*x_52 + 1.88497793674469) + 1)**2 - 0.045017022639513
1,140*(-0.026*x_30 + tanh(4.1*x_12 + 2.3) - 0.86*tanh(0.61*x_19 + 1.9) + 0.15*tanh(0.58*x_27 + 1) + 0.14*tanh(0.61*x_28 + 1) + 0.058*tanh(10*x_47 + 0.61) - 0.44)**2 - 0.054,49,0.9909,139.503705020869*(-0.0260673379554232*x_30 + tanh(4.1325888633728*x_12 + 2.27550959587097) - 0.862328490631724*tanh(0.611178576946259*x_19 + 1.93324220180511) + 0.146041047044144*tanh(0.583329617977142*x_27 + 1.00200092792511) + 0.141281003847182*tanh(0.605252742767334*x_28 + 1.00492596626282) + 0.0584394870154553*tanh(10.1591444015503*x_47 + 0.613798081874847) - 0.435256397304488)**2 - 0.0536368228495121
2,14*(-0.034*(1 - 0.5*x_14)**2 + 0.15*(-0.55*x_17 - 1)**2 + 0.3*tanh(3.7*x_18 + 1.6) + 0.05*tanh(1.2*x_21 - 0.057) + 0.012*tanh(1.8*x_22 - 0.94) - 0.066*tanh(10*x_3 + 0.65) - tanh(2*x_44 + 2.1) + 0.47)**2 - 0.099,66,0.9452,13.7619485474953*(-0.0343278029149204*(1 - 0.498487458026739*x_14)**2 + 0.152271122040792*(-0.552168007853704*x_17 - 1)**2 + 0.297203658324359*tanh(3.70187187194824*x_18 + 1.60678458213806) + 0.0504220308274751*tanh(1.21613311767578*x_21 - 0.0569806098937988) + 0.0117695217858091*tanh(1.81972527503967*x_22 - 0.941340327262878) - 0.0657401557574065*tanh(9.99870109558105*x_3 + 0.64632374048233) - tanh(2.01544046401978*x_44 + 2.09000706672668) + 0.473221557451759)**2 - 0.0985676497220993
3,220*(-0.014*x_39 + 0.011*(1 - 0.63*x_45)**2 + 0.48*tanh(9.9*x_1 + 2.1) - tanh(0.85*x_12 + 2.1) + 0.85*tanh(2.2*x_15 + 2.2) - 0.59*tanh(0.54*x_43 + 1.8) + 0.25)**2 + 22*(0.025*(0.09 - x_40)**2 + 0.043*(0.17 - x_38)**2 + 0.037*(0.33 - x_37)**2 - 0.43*tanh(0.77*x_24 + 1.7) + 0.056*tanh(0.64*x_33 - 0.33) + 0.015*tanh(3*x_39 - 1.9) + 0.027*tanh(2.3*x_42 - 1.4) - 0.64*tanh(10*x_51 + 2.1) + 1)**2 - 0.11,125,0.9558,215.94854990448*(-0.0138459184587352*x_39 + 0.0114817012418903*(1 - 0.62736385066314*x_45)**2 + 0.477693434586238*tanh(9.93296432495117*x_1 + 2.09711384773254) - tanh(0.851061820983887*x_12 + 2.14470982551575) + 0.852109769001775*tanh(2.22208309173584*x_15 + 2.2235860824585) - 0.589978986718698*tanh(0.535959184169769*x_43 + 1.80074095726013) + 0.250748945617575)**2 + 21.574415237641*(0.0249401531728393*(0.089701428758792 - x_40)**2 + 0.0432468401206369*(0.168120047310146 - x_38)**2 + 0.0373660621399019*(0.334472957612028 - x_37)**2 - 0.430710814351381*tanh(0.771495819091797*x_24 + 1.74744069576263) + 0.0563243039436583*tanh(0.638129949569702*x_33 - 0.325808584690094) + 0.0146400015394426*tanh(2.9594349861145*x_39 - 1.92540228366852) + 0.0266740098343285*tanh(2.26635718345642*x_42 - 1.44841527938843) - 0.635437740165479*tanh(10.2717552185059*x_51 + 2.0863299369812) + 1)**2 - 0.107258489355445
4,130*(0.014*(1 - 0.65*x_23)**2 - 0.022*(1 - 0.32*x_46)**2 - 0.03*(1 - 0.43*x_7)**2 + tanh(0.73*x_13 + 2.1) + 0.3*tanh(0.82*x_3 + 1.4) - 0.97*tanh(1.7*x_32 + 2.3) - 0.38*tanh(3.8*x_33 + 2.2) + 0.046*tanh(1.3*x_6 + 0.8) + 0.011*tanh(1.6*x_8 - 1.1) + 0.059)**2 - 0.061,81,0.9249,128.06033948094*(0.0140796568581219*(1 - 0.650974830126413*x_23)**2 - 0.0217557415575038*(1 - 0.32335962834205*x_46)**2 - 0.029658431107057*(1 - 0.425982865479837*x_7)**2 + tanh(0.731774985790253*x_13 + 2.13609433174133) + 0.29584140366412*tanh(0.817038476467133*x_3 + 1.39190268516541) - 0.972146967741508*tanh(1.6748321056366*x_32 + 2.27754187583923) - 0.383354957760616*tanh(3.8015284538269*x_33 + 2.19823861122131) + 0.0460407595107936*tanh(1.29142796993256*x_6 + 0.801875472068787) + 0.0111161091315876*tanh(1.55577456951141*x_8 - 1.06630492210388) + 0.0592976143944356)**2 - 0.0612245313823223
5,-110*(-0.014*x_39 + 0.011*(1 - 0.63*x_45)**2 + 0.48*tanh(9.9*x_1 + 2.1) - tanh(0.85*x_12 + 2.1) + 0.85*tanh(2.2*x_15 + 2.2) - 0.59*tanh(0.54*x_43 + 1.8) + 0.24)**2 - 1.5*(-0.034*(1 - 0.5*x_14)**2 + 0.15*(-0.55*x_17 - 1)**2 + 0.3*tanh(3.7*x_18 + 1.6) + 0.05*tanh(1.2*x_21 - 0.057) + 0.012*tanh(1.8*x_22 - 0.94) - 0.066*tanh(10*x_3 + 0.65) - tanh(2*x_44 + 2.1) + 0.37)**2 + 31*(0.025*(0.09 - x_40)**2 + 0.043*(0.17 - x_38)**2 + 0.038*(0.33 - x_37)**2 - 0.43*tanh(0.77*x_24 + 1.7) + 0.057*tanh(0.64*x_33 - 0.33) + 0.015*tanh(3*x_39 - 1.9) + 0.027*tanh(2.3*x_42 - 1.4) - 0.64*tanh(10*x_51 + 2.1) + 1)**2 - 590*(0.003*x_46 + 0.2*tanh(10*x_2 + 2.4) - 0.2*tanh(0.63*x_28 + 2.1) + 0.11*tanh(3.2*x_3 + 2.1) + 0.0039*tanh(10*x_4 + 0.39) + 0.1*tanh(10*x_48 + 2.2) + 0.22*tanh(1.7*x_49 + 2.3) + 0.0054*tanh(10*x_5 + 0.38) + 0.57*tanh(4*x_51 + 2.5) - 1)**2 - 48*(0.0031*(0.0016 - x_16)**2 - 0.0012*(0.89 - x_30)**2 - 0.01*(1 - 0.74*x_26)**2 + 0.31*tanh(0.34*x_20 - 2) + 0.14*tanh(1.1*x_28 + 1.6) + 0.39*tanh(1.9*x_31 + 2.1) - 0.58*tanh(3.6*x_33 + 2.2) + 0.0085*tanh(3.6*x_36 - 0.47) + 0.021*tanh(1.3*x_43 + 0.64) - 0.48*tanh(2.2*x_50 + 2.3) - 0.17*tanh(3.8*x_52 + 1.9) + 1)**2 + 0.18,359,0.9242,-113.346233779847*(-0.0138459184587352*x_39 + 0.0114817012418903*(1 - 0.62736385066314*x_45)**2 + 0.477693434586238*tanh(9.93296432495117*x_1 + 2.09711384773254) - tanh(0.851061820983887*x_12 + 2.14470982551575) + 0.852109769001775*tanh(2.22208309173584*x_15 + 2.2235860824585) - 0.589978986718698*tanh(0.535959184169769*x_43 + 1.80074095726013) + 0.242428856554573)**2 - 1.50448968067092*(-0.0343278029149204*(1 - 0.498487458026739*x_14)**2 + 0.152271122040793*(-0.552168007853704*x_17 - 1)**2 + 0.297203658324359*tanh(3.70187187194824*x_18 + 1.60678458213806) + 0.0504220308274751*tanh(1.21613311767578*x_21 - 0.0569806098937988) + 0.0117695217858091*tanh(1.81972527503967*x_22 - 0.941340327262878) - 0.0657401557574065*tanh(9.99870109558105*x_3 + 0.64632374048233) - tanh(2.01544046401978*x_44 + 2.09000706672668) + 0.366842728478623)**2 + 31.3206218544805*(0.0250370837414987*(0.089701428758792 - x_40)**2 + 0.0434149201150365*(0.168120047310146 - x_38)**2 + 0.0375112863342635*(0.334472957612028 - x_37)**2 - 0.432384783387317*tanh(0.771495819091797*x_24 + 1.74744069576263) + 0.0565432098490378*tanh(0.638129949569702*x_33 - 0.325808584690094) + 0.0146969002948175*tanh(2.9594349861145*x_39 - 1.92540228366852) + 0.0267776790830195*tanh(2.26635718345642*x_42 - 1.44841527938843) - 0.637907385843876*tanh(10.2717552185059*x_51 + 2.0863299369812) + 1)**2 - 590.633751857651*(0.00297746377860435*x_46 + 0.195328019876915*tanh(10.0346422195435*x_2 + 2.41159105300903) - 0.197047860634609*tanh(0.634225368499756*x_28 + 2.10286068916321) + 0.107332984426424*tanh(3.16010737419128*x_3 + 2.14549922943115) + 0.00386031423831208*tanh(10.1220607757568*x_4 + 0.391226708889008) + 0.104158214300018*tanh(10.1323175430298*x_48 + 2.19889092445374) + 0.22261734265913*tanh(1.7296050786972*x_49 + 2.28065085411072) + 0.00536732222415755*tanh(10.1683254241943*x_5 + 0.376109004020691) + 0.567310449997198*tanh(4.01543807983398*x_51 + 2.47164511680603) - 1)**2 - 48.0647118589284*(0.00312123415446552*(0.00159168671413751 - x_16)**2 - 0.00120559025495863*(0.892058522066164 - x_30)**2 - 0.00995064973481628*(1 - 0.744773800627681*x_26)**2 + 0.310330880993191*tanh(0.33516588807106*x_20 - 2.00710368156433) + 0.144536919131931*tanh(1.11183297634125*x_28 + 1.60103809833527) + 0.388170511143474*tanh(1.91919660568237*x_31 + 2.08510494232178) - 0.579537085554172*tanh(3.57687187194824*x_33 + 2.2263617515564) + 0.00854972742263718*tanh(3.63973784446716*x_36 - 0.468570351600647) + 0.0209259342988353*tanh(1.30447280406952*x_43 + 0.644928932189941) - 0.48320157705983*tanh(2.18648409843445*x_50 + 2.2752091884613) - 0.170842338693896*tanh(3.7635440826416*x_52 + 1.88497793674469) + 1)**2 + 0.183665355667472
6,1900*(-0.012*(1 - 0.29*x_15)**2 + 0.033*tanh(2.2*x_10 + 1) + 0.45*tanh(4.2*x_11 + 2.4) + 0.44*tanh(10*x_53 + 2.4) + 0.093*tanh(4.3*x_9 + 1.6) - 1)**2 - 0.058,49,0.9546,1920.81844854332*(-0.0119925040409168*(1 - 0.292672640100748*x_15)**2 + 0.0332553911107397*tanh(2.24836349487305*x_10 + 0.998445332050323) + 0.454942889929959*tanh(4.21205520629883*x_11 + 2.43286824226379) + 0.439325446479446*tanh(10.2429857254028*x_53 + 2.3921537399292) + 0.0931168213017014*tanh(4.28426170349121*x_9 + 1.60486054420471) - 1)**2 - 0.0583196058869362
7,550*(0.0058*x_34 - 0.0039*(1 - 0.41*x_24)**2 + 0.0063*tanh(8.2*x_25 - 0.48) + 0.0052*tanh(1.6*x_27 - 1.4) + 0.0044*tanh(3.2*x_29 - 1.4) + 0.012*tanh(8.1*x_3 + 0.35) + 0.0042*tanh(10*x_35 - 0.21) + 0.25*tanh(0.82*x_41 + 2) + 0.44*tanh(10*x_5 + 2.2) + 0.31*tanh(2.3*x_51 + 2.3) - 1)**2 - 0.092,84,0.9649,546.598071194533*(0.00582557078380015*x_34 - 0.003920400039281*(1 - 0.414910993573623*x_24)**2 + 0.00629682367979792*tanh(8.24950504302979*x_25 - 0.475526690483093) + 0.00520795526144584*tanh(1.57601594924927*x_27 - 1.40352320671082) + 0.00440017665717953*tanh(3.15287113189697*x_29 - 1.41413676738739) + 0.0124142319822313*tanh(8.13230991363525*x_3 + 0.35452476143837) + 0.00417120078887047*tanh(10.3021793365479*x_35 - 0.210192412137985) + 0.250744156596812*tanh(0.819720923900604*x_41 + 2.03975009918213) + 0.440656260034417*tanh(10.1987113952637*x_5 + 2.21982312202454) + 0.310145763038354*tanh(2.33222341537476*x_51 + 2.2595272064209) - 1)**2 - 0.0921926870942116
8,-26*(0.024*(0.09 - x_40)**2 + 0.042*(0.17 - x_38)**2 + 0.037*(0.33 - x_37)**2 - 0.42*tanh(0.77*x_24 + 1.7) + 0.055*tanh(0.64*x_33 - 0.33) + 0.014*tanh(3*x_39 - 1.9) + 0.026*tanh(2.3*x_42 - 1.4) - 0.62*tanh(10*x_51 + 2.1) + 1)**2 - 470*(0.003*x_46 + 0.19*tanh(10*x_2 + 2.4) - 0.2*tanh(0.63*x_28 + 2.1) + 0.11*tanh(3.2*x_3 + 2.1) + 0.0038*tanh(10*x_4 + 0.39) + 0.1*tanh(10*x_48 + 2.2) + 0.22*tanh(1.7*x_49 + 2.3) + 0.0053*tanh(10*x_5 + 0.38) + 0.56*tanh(4*x_51 + 2.5) - 1)**2 - 71*(0.0033*(0.0016 - x_16)**2 - 0.0013*(0.89 - x_30)**2 - 0.01*(1 - 0.74*x_26)**2 + 0.32*tanh(0.34*x_20 - 2) + 0.15*tanh(1.1*x_28 + 1.6) + 0.41*tanh(1.9*x_31 + 2.1) - 0.61*tanh(3.6*x_33 + 2.2) + 0.009*tanh(3.6*x_36 - 0.47) + 0.022*tanh(1.3*x_43 + 0.64) - 0.51*tanh(2.2*x_50 + 2.3) - 0.18*tanh(3.8*x_52 + 1.9) + 1)**2 + 0.28,245,0.9142,-26.2298872641118*(0.0243779388270147*(0.089701428758792 - x_40)**2 + 0.0422719465921608*(0.168120047310146 - x_38)**2 + 0.0365237362713942*(0.334472957612028 - x_37)**2 - 0.421001499534748*tanh(0.771495819091797*x_24 + 1.74744069576263) + 0.055054611192525*tanh(0.638129949569702*x_33 - 0.325808584690094) + 0.0143099787512373*tanh(2.9594349861145*x_39 - 1.92540228366852) + 0.0260727099591594*tanh(2.26635718345642*x_42 - 1.44841527938843) - 0.62111336088346*tanh(10.2717552185059*x_51 + 2.0863299369812) + 1)**2 - 472.585714590475*(0.00296125115880832*x_46 + 0.194264437191365*tanh(10.0346422195435*x_2 + 2.41159105300903) - 0.195974913225795*tanh(0.634225368499756*x_28 + 2.10286068916321) + 0.106748544447478*tanh(3.16010737419128*x_3 + 2.14549922943115) + 0.00383929440005621*tanh(10.1220607757568*x_4 + 0.391226708889008) + 0.103591061295768*tanh(10.1323175430298*x_48 + 2.19889092445374) + 0.22140516659087*tanh(1.7296050786972*x_49 + 2.28065085411072) + 0.00533809656063533*tanh(10.1683254241943*x_5 + 0.376109004020691) + 0.564221381811645*tanh(4.01543807983398*x_51 + 2.47164511680603) - 1)**2 - 71.0560821352109*(0.00326805889544072*(0.00159168671413751 - x_16)**2 - 0.00126230194916244*(0.892058522066164 - x_30)**2 - 0.0104187343121169*(1 - 0.744773800627681*x_26)**2 + 0.324929033186688*tanh(0.33516588807106*x_20 - 2.00710368156433) + 0.151336023160232*tanh(1.11183297634125*x_28 + 1.60103809833527) + 0.406430286582401*tanh(1.91919660568237*x_31 + 2.08510494232178) - 0.606798860307686*tanh(3.57687187194824*x_33 + 2.2263617515564) + 0.00895191176771147*tanh(3.63973784446716*x_36 - 0.468570351600647) + 0.0219103028950506*tanh(1.30447280406952*x_43 + 0.644928932189941) - 0.50593167127244*tanh(2.18648409843445*x_50 + 2.2752091884613) - 0.178878865556336*tanh(3.7635440826416*x_52 + 1.88497793674469) + 1)**2 + 0.280618220567703
9,1400*(0.003*x_46 + 0.19*tanh(10*x_2 + 2.4) - 0.2*tanh(0.63*x_28 + 2.1) + 0.11*tanh(3.2*x_3 + 2.1) + 0.0038*tanh(10*x_4 + 0.39) + 0.1*tanh(10*x_48 + 2.2) + 0.22*tanh(1.7*x_49 + 2.3) + 0.0053*tanh(10*x_5 + 0.38) + 0.56*tanh(4*x_51 + 2.5) - 1)**2 - 72*(0.014*(1 - 0.65*x_23)**2 - 0.022*(1 - 0.32*x_46)**2 - 0.03*(1 - 0.43*x_7)**2 + tanh(0.73*x_13 + 2.1) + 0.3*tanh(0.82*x_3 + 1.4) - 0.97*tanh(1.7*x_32 + 2.3) - 0.38*tanh(3.8*x_33 + 2.2) + 0.046*tanh(1.3*x_6 + 0.8) + 0.011*tanh(1.6*x_8 - 1.1) + 0.066)**2 - 290*(0.0058*x_34 - 0.0039*(1 - 0.41*x_24)**2 + 0.0063*tanh(8.2*x_25 - 0.48) + 0.0052*tanh(1.6*x_27 - 1.4) + 0.0044*tanh(3.2*x_29 - 1.4) + 0.012*tanh(8.1*x_3 + 0.35) + 0.0042*tanh(10*x_35 - 0.21) + 0.25*tanh(0.82*x_41 + 2) + 0.44*tanh(10*x_5 + 2.2) + 0.31*tanh(2.3*x_51 + 2.3) - 1)**2 + 0.038,236,0.9472,1375.73761389032*(0.00296475452089313*x_46 + 0.194494265269831*tanh(10.0346422195435*x_2 + 2.41159105300903) - 0.196206764914069*tanh(0.634225368499756*x_28 + 2.10286068916321) + 0.106874835256049*tanh(3.16010737419128*x_3 + 2.14549922943115) + 0.00384383654717993*tanh(10.1220607757568*x_4 + 0.391226708889008) + 0.103713616586423*tanh(10.1323175430298*x_48 + 2.19889092445374) + 0.221667104003274*tanh(1.7296050786972*x_49 + 2.28065085411072) + 0.00534441189293668*tanh(10.1683254241943*x_5 + 0.376109004020691) + 0.564888894187487*tanh(4.01543807983398*x_51 + 2.47164511680603) - 1)**2 - 71.9906810296067*(0.0140796568581219*(1 - 0.650974830126413*x_23)**2 - 0.0217557415575038*(1 - 0.32335962834205*x_46)**2 - 0.029658431107057*(1 - 0.425982865479837*x_7)**2 + tanh(0.731774985790253*x_13 + 2.13609433174133) + 0.29584140366412*tanh(0.817038476467133*x_3 + 1.39190268516541) - 0.972146967741508*tanh(1.6748321056366*x_32 + 2.27754187583923) - 0.383354957760616*tanh(3.8015284538269*x_33 + 2.19823861122131) + 0.0460407595107936*tanh(1.29142796993256*x_6 + 0.801875472068787) + 0.0111161091315876*tanh(1.55577456951141*x_8 - 1.06630492210388) + 0.0659535350001435)**2 - 294.327336396548*(0.00583339425124501*x_34 - 0.00392566495206233*(1 - 0.414910993573623*x_24)**2 + 0.00630528001770767*tanh(8.24950504302979*x_25 - 0.475526690483093) + 0.00521494930030561*tanh(1.57601594924927*x_27 - 1.40352320671082) + 0.00440608588738317*tanh(3.15287113189697*x_29 - 1.41413676738739) + 0.0124309037116413*tanh(8.13230991363525*x_3 + 0.35452476143837) + 0.00417680251525726*tanh(10.3021793365479*x_35 - 0.210192412137985) + 0.251080894200547*tanh(0.819720923900604*x_41 + 2.03975009918213) + 0.4412480406569*tanh(10.1987113952637*x_5 + 2.21982312202454) + 0.310562274204442*tanh(2.33222341537476*x_51 + 2.2595272064209) - 1)**2 + 0.0384012386202812
