类别,表达式,复杂度,AUC,expr_full
0,500*(-0.021*(0.61 - x_35)**2 - 0.015*(0.75 - x_40)**2 - 0.0076*(0.98 - x_31)**2 + 0.021*tanh(0.62*x_26 - 0.8) + 0.0076*tanh(4.4*x_37 - 0.23) - 0.35*tanh(8*x_39 + 2.2) + 0.013*tanh(2*x_44 + 0.32) - 0.35*tanh(1.9*x_54 + 2.2) - 0.31*tanh(2.4*x_58 + 2.2) + 1)**2 - 0.066,83,0.9933,498.907238415235*(-0.0207608036543537*(0.605569173842963 - x_35)**2 - 0.0152446908717888*(0.751042952644792 - x_40)**2 - 0.0076415243359816*(0.983067134983156 - x_31)**2 + 0.0212745447092674*tanh(0.619919955730438*x_26 - 0.799119710922241) + 0.00764623572613066*tanh(4.35735988616943*x_37 - 0.226559787988663) - 0.352658280675824*tanh(8.00063991546631*x_39 + 2.17199993133545) + 0.0131644968120081*tanh(2.02471995353699*x_44 + 0.318799704313278) - 0.351649628798823*tanh(1.93784010410309*x_54 + 2.23408007621765) - 0.309557713160881*tanh(2.42111992835999*x_58 + 2.19824004173279) + 1)**2 - 0.0659130066633224
1,210*(-0.015*(1 - 0.41*x_38)**2 + 0.42*tanh(0.75*x_13 + 2.1) + tanh(1.3*x_18 + 2.4) - 0.69*tanh(1.5*x_25 + 2.2) - 0.68*tanh(0.99*x_30 + 1.9) + 0.07*tanh(0.95*x_33 + 1) + 0.66*tanh(2.7*x_48 + 2.3) - 0.77)**2 - 0.077,63,0.9896,213.204172408446*(-0.0154220076679235*(1 - 0.414160699323737*x_38)**2 + 0.418599151549369*tanh(0.745759665966034*x_13 + 2.05624008178711) + tanh(1.2974396944046*x_18 + 2.36263990402222) - 0.691817360038108*tanh(1.48751950263977*x_25 + 2.23271989822388) - 0.682513441055203*tanh(0.985040009021759*x_30 + 1.91791987419128) + 0.0698708866161646*tanh(0.948000073432922*x_33 + 0.998960018157959) + 0.661212219439451*tanh(2.69103980064392*x_48 + 2.32479977607727) - 0.767930900196082)**2 - 0.0774400234222412
2,120*(-0.015*(1 - 0.83*x_19)**2 + 0.0062*(-0.88*x_21 - 1)**2 + 0.014*(-0.53*x_27 - 1)**2 - 0.42*tanh(8.5*x_2 + 1.9) + 0.025*tanh(1.6*x_22 - 1.3) + 0.088*tanh(3.7*x_24 + 1.1) + 0.12*tanh(0.53*x_32 - 1.6) - 0.6*tanh(8.5*x_41 + 2.2) + 1)**2 - 0.1,75,0.9503,123.555794664867*(-0.0149284007546644*(1 - 0.826593014990148*x_19)**2 + 0.00623088606713699*(-0.875763120656024*x_21 - 1)**2 + 0.0137370682957689*(-0.528431687901511*x_27 - 1)**2 - 0.423824651834249*tanh(8.49903964996338*x_2 + 1.86447989940643) + 0.0248817865641581*tanh(1.55895948410034*x_22 - 1.28239965438843) + 0.0877192923648201*tanh(3.65559983253479*x_24 + 1.09103989601135) + 0.124000474621659*tanh(0.531999826431274*x_32 - 1.59955942630768) - 0.598000574446566*tanh(8.51215934753418*x_41 + 2.1670401096344) + 1)**2 - 0.104134947061539
3,-0.056*(0.11 - x_42)**2 + 0.08*(0.53 - x_16)**2 + 0.12*(1 - 0.14*x_15)**2 - 0.042*(-0.47*x_39 - 1)**2 - 30*(-0.015*(1 - 0.41*x_38)**2 + 0.42*tanh(0.75*x_13 + 2.1) + tanh(1.3*x_18 + 2.4) - 0.69*tanh(1.5*x_25 + 2.2) - 0.68*tanh(0.99*x_30 + 1.9) + 0.07*tanh(0.95*x_33 + 1) + 0.66*tanh(2.7*x_48 + 2.3) - 0.74)**2 + 160*(0.012*(1 - 0.52*x_1)**2 + 0.0093*(1 - 0.42*x_17)**2 + 0.023*(1 - 0.29*x_55)**2 - 0.008*tanh(5.8*x_11 - 0.34) - 0.0049*tanh(7.1*x_12 - 0.23) + 0.19*tanh(1.7*x_18 + 2) - 0.034*tanh(0.97*x_20 - 1.4) + 0.0073*tanh(1.4*x_42 - 0.35) + 0.22*tanh(9.4*x_45 + 2) - 0.0091*tanh(3.5*x_5 + 0.31) + 0.55*tanh(1.1*x_51 + 2.2) + 0.18*tanh(3.1*x_57 + 1.9) - 0.2*tanh(6.2*x_58 + 1.9) - 0.0047*tanh(10*x_60 - 0.2) - 0.0048*tanh(10*x_9 - 0.2) - 1)**2 - 2.3*tanh(10*x_17 + 2.4) - 0.24*tanh(0.54*x_47 + 1) + 2.5*tanh(10*x_6 + 2.4) - 0.024,252,0.9371,-0.0564497941300852*(0.110313215020957 - x_42)**2 + 0.080226070084377*(0.527428558894566 - x_16)**2 + 0.11953441141503*(1 - 0.140511045070106*x_15)**2 - 0.0422719370707242*(-0.470629929595795*x_39 - 1)**2 - 29.9458544445299*(-0.0154220076679235*(1 - 0.414160699323737*x_38)**2 + 0.418599151549369*tanh(0.745759665966034*x_13 + 2.05624008178711) + tanh(1.2974396944046*x_18 + 2.36263990402222) - 0.691817360038108*tanh(1.48751950263977*x_25 + 2.23271989822388) - 0.682513441055203*tanh(0.985040009021759*x_30 + 1.91791987419128) + 0.0698708866161646*tanh(0.948000073432922*x_33 + 0.998960018157959) + 0.661212219439451*tanh(2.69103980064392*x_48 + 2.32479977607727) - 0.742334806996722)**2 + 164.919568213525*(0.0116210231083684*(1 - 0.520432631958303*x_1)**2 + 0.00932147789640214*(1 - 0.422250081791678*x_17)**2 + 0.0226475463849084*(1 - 0.289312373159164*x_55)**2 - 0.00803341868219579*tanh(5.80535984039307*x_11 - 0.336639672517776) - 0.00487618175627784*tanh(7.14095973968506*x_12 - 0.226239800453186) + 0.190960729428303*tanh(1.68256008625031*x_18 + 1.96904003620148) - 0.0342833249359639*tanh(0.965040028095245*x_20 - 1.38455963134766) + 0.00729382872563435*tanh(1.38927960395813*x_42 - 0.351919651031494) + 0.222360415381961*tanh(9.41839981079102*x_45 + 2.03719997406006) - 0.00909941434573432*tanh(3.46463990211487*x_5 + 0.305839717388153) + 0.552624276997272*tanh(1.10647988319397*x_51 + 2.16799974441528) + 0.181493310315189*tanh(3.12320017814636*x_57 + 1.94271993637085) - 0.196810838941235*tanh(6.21983957290649*x_58 + 1.85031986236572) - 0.00473908508842196*tanh(9.99983978271484*x_60 - 0.199999809265137) - 0.00475152175156694*tanh(9.9998197555542*x_9 - 0.199999809265137) - 1)**2 - 2.29117954032873*tanh(10.0*x_17 + 2.40000009536743) - 0.241637777558283*tanh(0.535999834537506*x_47 + 0.999360024929047) + 2.46417084083703*tanh(10.0*x_6 + 2.40000009536743) - 0.0236274883070532
4,190*(0.02*x_7 + 0.018*(1 - 0.47*x_28)**2 - 0.057*(1 - 0.27*x_3)**2 + 0.015*(-0.55*x_50 - 1)**2 + 0.68*tanh(0.72*x_14 + 2) - 0.61*tanh(1.9*x_39 + 2.2) + 0.94*tanh(3*x_52 + 2.3) + 0.019*tanh(0.8*x_8 - 0.87) - 1)**2 - 0.066,70,0.9324,186.597893379796*(0.0204440524440925*x_7 + 0.0184578701346003*(1 - 0.469000330320853*x_28)**2 - 0.056596463704852*(1 - 0.269767422131941*x_3)**2 + 0.0149501515662836*(-0.550104733201909*x_50 - 1)**2 + 0.684908336521398*tanh(0.721439599990845*x_14 + 1.98792004585266) - 0.611261675093381*tanh(1.94863998889923*x_39 + 2.15848016738892) + 0.942617204623109*tanh(3.04551982879639*x_52 + 2.25855994224548) + 0.0193536210034918*tanh(0.799480199813843*x_8 - 0.868000149726868) - 1)**2 - 0.0661604255437851
5,230*(0.023*(0.11 - x_42)**2 - 0.033*(0.53 - x_16)**2 - 0.049*(1 - 0.14*x_15)**2 + 0.017*(-0.47*x_39 - 1)**2 + 0.93*tanh(10*x_17 + 2.4) + 0.098*tanh(0.54*x_47 + 1) - tanh(10*x_6 + 2.4) + 0.0016)**2 - 4.1*(-0.017*(1 - 0.83*x_19)**2 + 0.007*(-0.88*x_21 - 1)**2 + 0.015*(-0.53*x_27 - 1)**2 - 0.47*tanh(8.5*x_2 + 1.9) + 0.028*tanh(1.6*x_22 - 1.3) + 0.098*tanh(3.7*x_24 + 1.1) + 0.14*tanh(0.53*x_32 - 1.6) - 0.67*tanh(8.5*x_41 + 2.2) + 1)**2 - 140*(-0.02*(0.61 - x_35)**2 - 0.015*(0.75 - x_40)**2 - 0.0075*(0.98 - x_31)**2 + 0.021*tanh(0.62*x_26 - 0.8) + 0.0075*tanh(4.4*x_37 - 0.23) - 0.35*tanh(8*x_39 + 2.2) + 0.013*tanh(2*x_44 + 0.32) - 0.35*tanh(1.9*x_54 + 2.2) - 0.3*tanh(2.4*x_58 + 2.2) + 1)**2 + 0.13,222,0.9299,229.240248516053*(0.0229082307097305*(0.110313215020957 - x_42)**2 - 0.0325570243567714*(0.527428558894566 - x_16)**2 - 0.0485089789368771*(1 - 0.140511045070106*x_15)**2 + 0.0171546292043474*(-0.470629929595795*x_39 - 1)**2 + 0.929797359159749*tanh(10.0*x_17 + 2.40000009536743) + 0.0980604808537561*tanh(0.535999834537506*x_47 + 0.999360024929047) - tanh(10.0*x_6 + 2.40000009536743) + 0.00157667249794185)**2 - 4.12001866154417*(-0.0166982736447479*(1 - 0.826593014990148*x_19)**2 + 0.006969603932008*(-0.875763120656024*x_21 - 1)**2 + 0.0153656998662544*(-0.528431687901511*x_27 - 1)**2 - 0.474072215103617*tanh(8.49903964996338*x_2 + 1.86447989940643) + 0.0278317073373518*tanh(1.55895948410034*x_22 - 1.28239965438843) + 0.0981190665968516*tanh(3.65559983253479*x_24 + 1.09103989601135) + 0.138701652731563*tanh(0.531999826431274*x_32 - 1.59955942630768) - 0.668897988199115*tanh(8.51215934753418*x_41 + 2.1670401096344) + 1)**2 - 141.509822180468*(-0.0204314133713434*(0.605569173842963 - x_35)**2 - 0.0150028190673892*(0.751042952644792 - x_40)**2 - 0.00752028414193298*(0.983067134983156 - x_31)**2 + 0.0209370034262144*tanh(0.619919955730438*x_26 - 0.799119710922241) + 0.00752492078130839*tanh(4.35735988616943*x_37 - 0.226559787988663) - 0.347063015058378*tanh(8.00063991546631*x_39 + 2.17199993133545) + 0.0129556293036596*tanh(2.02471995353699*x_44 + 0.318799704313278) - 0.346070366421558*tanh(1.93784010410309*x_54 + 2.23408007621765) - 0.304646279844343*tanh(2.42111992835999*x_58 + 2.19824004173279) + 1)**2 + 0.134873449802399
6,230*(0.012*(1 - 0.52*x_1)**2 + 0.0097*(1 - 0.42*x_17)**2 + 0.023*(1 - 0.29*x_55)**2 - 0.0083*tanh(5.8*x_11 - 0.34) - 0.0051*tanh(7.1*x_12 - 0.23) + 0.2*tanh(1.7*x_18 + 2) - 0.036*tanh(0.97*x_20 - 1.4) + 0.0076*tanh(1.4*x_42 - 0.35) + 0.23*tanh(9.4*x_45 + 2) - 0.0094*tanh(3.5*x_5 + 0.31) + 0.57*tanh(1.1*x_51 + 2.2) + 0.19*tanh(3.1*x_57 + 1.9) - 0.2*tanh(6.2*x_58 + 1.9) - 0.0049*tanh(10*x_60 - 0.2) - 0.0049*tanh(10*x_9 - 0.2) - 1)**2 - 0.08,131,0.9746,228.179685509558*(0.0120521803771374*(1 - 0.520432631958303*x_1)**2 + 0.00966731861225185*(1 - 0.422250081791678*x_17)**2 + 0.0234878040930793*(1 - 0.289312373159164*x_55)**2 - 0.00833147048241981*tanh(5.80535984039307*x_11 - 0.336639672517776) - 0.00505709536332027*tanh(7.14095973968506*x_12 - 0.226239800453186) + 0.198045656957891*tanh(1.68256008625031*x_18 + 1.96904003620148) - 0.0355552873618082*tanh(0.965040028095245*x_20 - 1.38455963134766) + 0.00756444063672756*tanh(1.38927960395813*x_42 - 0.351919651031494) + 0.23061031803549*tanh(9.41839981079102*x_45 + 2.03719997406006) - 0.00943701617305363*tanh(3.46463990211487*x_5 + 0.305839717388153) + 0.573127460899734*tanh(1.10647988319397*x_51 + 2.16799974441528) + 0.188226982492384*tanh(3.12320017814636*x_57 + 1.94271993637085) - 0.204112814248465*tanh(6.21983957290649*x_58 + 1.85031986236572) - 0.00491491220485863*tanh(9.99983978271484*x_60 - 0.199999809265137) - 0.00492781028673277*tanh(9.9998197555542*x_9 - 0.199999809265137) - 1)**2 - 0.0804198533296585
7,2500*(-0.0069*(0.58 - x_34)**2 - 0.0062*(0.78 - x_36)**2 + 0.079*tanh(1.6*x_29 + 2) + 0.25*tanh(3.7*x_3 + 2.2) + 0.28*tanh(3.4*x_4 + 2.3) + 0.2*tanh(1.1*x_49 + 2.2) + 0.21*tanh(7*x_52 + 2.3) - 1)**2 - 0.078,66,0.9635,2475.92843958251*(-0.00689149316763258*(0.576771053322672 - x_34)**2 - 0.00615650981741285*(0.778482416330971 - x_36)**2 + 0.079154355881439*tanh(1.62535989284515*x_29 + 2.01480007171631) + 0.254872051640884*tanh(3.68815994262695*x_3 + 2.17191982269287) + 0.277577058012295*tanh(3.44335985183716*x_4 + 2.34231996536255) + 0.19615279360959*tanh(1.14551985263824*x_49 + 2.20671987533569) + 0.206491783055381*tanh(7.04760026931763*x_52 + 2.29832005500793) - 1)**2 - 0.0784981697797775
8,2000*(0.17*tanh(0.99*x_10 - 3) - 0.0039*tanh(2.5*x_23 + 0.25) - 0.023*tanh(1.4*x_34 + 0.82) - 0.25*tanh(10*x_43 + 2.4) - 0.25*tanh(9.7*x_46 + 2.2) - 0.21*tanh(10*x_59 + 2.2) - 0.12*tanh(2.9*x_60 + 2.2) + 1)**2 - 0.048,64,0.9335,2018.09812737967*(0.167070391468806*tanh(0.990000009536743*x_10 - 2.99767971038818) - 0.00393048624673062*tanh(2.4760000705719*x_23 + 0.252159744501114) - 0.0228620687286241*tanh(1.38199961185455*x_34 + 0.817199766635895) - 0.251312371581354*tanh(10.0*x_43 + 2.40000009536743) - 0.252806824606783*tanh(9.71127986907959*x_46 + 2.18352007865906) - 0.208286945700547*tanh(10.0*x_59 + 2.19999980926514) - 0.116791717126019*tanh(2.9113597869873*x_60 + 2.17151999473572) + 1)**2 - 0.0481757670640945
9,900*(0.019*tanh(10*x_4 + 0.6) + 0.23*tanh(3.9*x_53 + 2.2) + 0.0027*tanh(9.8*x_54 - 0.24) + tanh(10*x_56 + 2.6) - 0.3*tanh(1.9*x_7 + 2.1) - 0.94)**2 - 400*(-0.0069*(0.58 - x_34)**2 - 0.0062*(0.78 - x_36)**2 + 0.079*tanh(1.6*x_29 + 2) + 0.25*tanh(3.7*x_3 + 2.2) + 0.28*tanh(3.4*x_4 + 2.3) + 0.2*tanh(1.1*x_49 + 2.2) + 0.21*tanh(7*x_52 + 2.3) - 1)**2 - 35*(0.021*x_7 + 0.019*(1 - 0.47*x_28)**2 - 0.059*(1 - 0.27*x_3)**2 + 0.015*(-0.55*x_50 - 1)**2 + 0.71*tanh(0.72*x_14 + 2) - 0.63*tanh(1.9*x_39 + 2.2) + 0.98*tanh(3*x_52 + 2.3) + 0.02*tanh(0.8*x_8 - 0.87) - 1)**2 + 0.012,178,0.9456,895.901386120228*(0.01927145411077*tanh(10.0*x_4 + 0.59999942779541) + 0.231480806850825*tanh(3.87416005134583*x_53 + 2.20840001106262) + 0.00272270925624935*tanh(9.79979991912842*x_54 - 0.235999777913094) + tanh(9.99995994567871*x_56 + 2.59999990463257) - 0.30482465865336*tanh(1.92640006542206*x_7 + 2.13919997215271) - 0.942307388805037)**2 - 404.157894709457*(-0.0068893800041506*(0.576771053322672 - x_34)**2 - 0.00615462202453456*(0.778482416330971 - x_36)**2 + 0.0791300844949311*tanh(1.62535989284515*x_29 + 2.01480007171631) + 0.254793899301616*tanh(3.68815994262695*x_3 + 2.17191982269287) + 0.277491943554781*tanh(3.44335985183716*x_4 + 2.34231996536255) + 0.196092646568846*tanh(1.14551985263824*x_49 + 2.20671987533569) + 0.206428465732898*tanh(7.04760026931763*x_52 + 2.29832005500793) - 1)**2 - 34.6378851419122*(0.0211662235547714*x_7 + 0.0191098808165492*(1 - 0.469000330320853*x_28)**2 - 0.0585956921438322*(1 - 0.269767422131941*x_3)**2 + 0.0154782546706444*(-0.550104733201909*x_50 - 1)**2 + 0.709102219581106*tanh(0.721439599990845*x_14 + 1.98792004585266) - 0.632854044024385*tanh(1.94863998889923*x_39 + 2.15848016738892) + 0.975914463836727*tanh(3.04551982879639*x_52 + 2.25855994224548) + 0.020037273425827*tanh(0.799480199813843*x_8 - 0.868000149726868) - 1)**2 + 0.011542484164238
